Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
"Confectionery, Crisps & Snacks",775502,4009900537339	,EXTRA TROPICAL REFRESHERS GUM,384X15.6GR,£0.69,£107.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,A varied and balanced diet and a healthy lifestyle are important.,No
Fresh & Chilled Goods,119464,5011069150877	,KERRYMAID PIZZA GRATED,1 x 2kgm,NA,£10.89,0.0%,In Stock,Kerrymaid,Kerrymaid Perfect Melt Pizza Grate 2kg,No
Fresh & Chilled Goods,186522,5010386084001	,DROMONA GRATED CHEESE,2 x 2kgm,NA,£19.69,0.0%,In Stock,Dromona Quality Foods,Dromona Grated Mild Cheddar 2kg,No
Fresh & Chilled Goods,119457,5000187121258	,KERRYMAID GRATED WHITE CHEESE,1 x 2kgm,NA,£8.99,0.0%,In Stock,Kerrymaid,Kerrymaid Mild & Creamy Grated White 2kg,No
"Confectionery, Crisps & Snacks",124267,16000502666	,N/VALLEY OATS & HONEY BARS,18 x 42grm,£0.69,£6.99,20.0%,In Stock,Rob Roberts NI Ltd,Nature Valley Crunchy,No
Alcohol & Tobacco,312782,85200000272	,SUTTER HOME SAUVIGNON BLANC,12 x 750mls,£6.68,£54.99,20.0%,In Stock,Dillon Bass Ltd,Sutter Home Sauvignon Blanc 750ml,No
Fresh & Chilled Goods,622019,5011069029340	,KERRYMAID DAIRY SPREAD,24 x 500grm,£1.95,£34.99,0.0%,In Stock,Kerrymaid,Kerrymaid Spread 500g,No
Fresh & Chilled Goods,527937,5011069163815	,COLERAINE MATURE CHEDDARBLOCK,18X350GRM,NA,£46.39,0.0%,In Stock,Coleraine,Coleraine Mature Cheddar 350g,No
Fresh & Chilled Goods,532048,5011255022506	,GOLDEN COW BUTTER,40X250GRM,£2.05,£69.95,0.0%,In Stock,Golden Cow,Golden Cow Butter 250g,No
Fresh & Chilled Goods,287646,5011255022506	,GOLDEN COW BUTTER,1 x 250grm,£2.05,£1.75,0.0%,In Stock,Golden Cow,Golden Cow Butter 250g,No
Fresh & Chilled Goods,342358,5011069029340	,KERRYMAID DAIRY SPREAD,1 x 500grm,£1.95,£1.49,0.0%,In Stock,Kerrymaid,Kerrymaid Spread 500g,No
Fresh & Chilled Goods,310397,5010386095007	,DROMONA COUNTRY GOLD,1 x 2kgm,£6.49,£4.75,0.0%,In Stock,Dromona,Country Gold 2kg,No
Alcohol & Tobacco,197428,8520000009	,SUTTER HOME WHITE ZINFANDEL,24 x 187mls,£2.09,£29.99,20.0%,In Stock,Dillon Bass Ltd,NA,No
Fresh & Chilled Goods,494031,501038610259	,NATURAL YOGHURT,1 x 2.2kgm,NA,£3.05,0.0%,In Stock,Dromona Quality Foods,Rowan Glen Fresh Natural Low Fat Yogurt 2.25kg,No
Fresh & Chilled Goods,310396,5010386095007	,DROMONA COUNTRY GOLD,6 x 2kgm,£6.49,£28.49,0.0%,In Stock,Dromona,Country Gold 2kg,No
"Household, Cleaning & Pet Care",494514,5413149980761	,FAIRY ORIGINAL WASHING UP LIQUID,10X433MLS,£1.29,£7.99,20.0%,In Stock,Fairy,Fairy Original Washing Up Liquid Green with LiftAction 433 ML,No
"Household, Cleaning & Pet Care",494513,5413149980594	,FAIRY LEMON WASHING UP LIQUID,10X433MLS,£1.29,£7.99,20.0%,In Stock,Fairy,Fairy Original Washing Up Liquid with LiftAction Lemon 433 ML,No
"Household, Cleaning & Pet Care",688245,8710447398173	,COMFORT BLUE 36 WASH,6X1.2LTR,£2.59,£9.99,20.0%,In Stock,Unilever Ireland Homecare,Comfort Blue Skies Fabric Conditioner 36 Wash 1.26 l,No
Fresh & Chilled Goods,778877,5018222002363	,M/MOO CHOCOLATE FLAVOURED MILK,1 x 500mls,£1.29,£0.85,0.0%,In Stock,Clarke Millar Foods,NA,No
Fresh & Chilled Goods,778876,5018222002363	,M/MOO CHOCOLATE FLAVOURED MILK,12 x 500mls,£1.29,£10.15,0.0%,In Stock,Clarke Millar Foods,NA,No
Fresh & Chilled Goods,778859,5018222002325	,M/MOO STRAWBERRY FLAVOURED MILK,12 x 500mls,£1.29,£10.15,0.0%,In Stock,Clarke Millar Foods,NA,No
Fresh & Chilled Goods,468975,5011069156336	,COLERAINE MEDIUM CHEDDARSLICE,16X160GRM,£1.89,£20.95,0.0%,In Stock,Coleraine,Coleraine Medium Cheddar 160g,No
Fresh & Chilled Goods,778848,5018222002400	,M/MOO BANANA FLAVOURED MILK,1 x 500mls,£1.29,£0.85,0.0%,In Stock,Clarke Millar Foods,NA,No
Fresh & Chilled Goods,778847,5018222002400	,M/MOO BANANA FLAVOURED MILK,12 x 500mls,£1.29,£10.15,0.0%,In Stock,Clarke Millar Foods,NA,No
Fresh & Chilled Goods,789275,5202390015359	,VIOLIFE SLICES,1 x 200grm,NA,£1.49,0.0%,In Stock,Upfield Spread Irl Ltd,NA,No
Fresh & Chilled Goods,789217,5202390013836	,VIOLIFE CREAMY ORIGINAL,1 x 200grm,NA,£1.59,0.0%,In Stock,Upfield Spread Irl Ltd,For more information and recipe ideas see www.violife.com,No
Fresh & Chilled Goods,789274,5202390015359	,VIOLIFE SLICES,12 x 200grm,NA,£17.89,0.0%,In Stock,Upfield Spread Irl Ltd,NA,No
Fresh & Chilled Goods,789216,5202390013836	,VIOLIFE CREAMY ORIGINAL,8 x 200grm,NA,£12.65,0.0%,In Stock,Upfield Spread Irl Ltd,For more information and recipe ideas see www.violife.com,No
Fresh & Chilled Goods,755217,177860141190	,ROBS PULLED HAM HOCK,1 x 800grm,NA,£5.15,0.0%,In Stock,Robinson Ltd Fred,NA,No
Fresh & Chilled Goods,535994,5099839627842	,M/E PULLED CHICKEN TIKKA,1 x 750grm,NA,£6.75,0.0%,In Stock,MCCAUGHEY FOODS,Musgrave Excellence Pulled Chicken Tikka 750g,No
Fresh & Chilled Goods,414959,5099530003211	,GERMAN SALAMI CO. HOT DOG 3OZ/80G,12 x 800grm,NA,£33.45,0.0%,In Stock,Unbranded,German Salami Co Hotdog,No
Fresh & Chilled Goods,413935,5099530003211	,GERMAN SALAMI CO. HOT DOG 3OZ/80G,1 x 800grm,NA,£2.89,0.0%,In Stock,Unbranded,German Salami Co Hotdog,No
Fresh & Chilled Goods,528332,5391505397067	,MCCAUGHEY PULLED CHICKENFILLET,1 x 500grm,NA,£4.59,0.0%,In Stock,MCCAUGHEY FOODS,McCaughey Foods Pulled Chicken Fillet 0.500kg,No
Fresh & Chilled Goods,528330,5391505397067	,MCCAUGHEY PULLED CHICKENFILLET,6 x 500grm,NA,£27.05,0.0%,In Stock,MCCAUGHEY FOODS,McCaughey Foods Pulled Chicken Fillet 0.500kg,No
"Household, Cleaning & Pet Care",915918,5011417569566	,DETTOL BIO WIPES,NA,NA,NA,20.0%,Out of Stock,SHS Distributors,Dettol Antibacterial Cleansing Surface 30 Large Wipes,No
"Household, Cleaning & Pet Care",796328,5029053571539	,ANDREX GENTLE CLEAN,1 x 16pk,£8.99,£5.29,20.0%,In Stock,Kimberley Clark Ltd,www.andrex.co.uk,No
Fresh & Chilled Goods,757668,5099839666759	,SM BEEF STRIPLOIN STEAK 10OZ/283G,1 x 5pce,NA,£27.50,0.0%,In Stock,Kepak,NA,No
Fresh & Chilled Goods,790243,5099839699634	,S/M 8OZ RUMP STEAK TOURNEDOS,5 x 5pce,NA,£79.95,0.0%,In Stock,Kepak,NA,No
Fresh & Chilled Goods,535993,5099839627842	,M/E PULLED CHICKEN TIKKA,8 x 750grm,NA,£53.79,0.0%,In Stock,MCCAUGHEY FOODS,Musgrave Excellence Pulled Chicken Tikka 750g,No
