ProductDescription,TescoProductID,BaseID,SpecialOffer,OfferStartDate,OfferEndDate,WebLink,CurrentlyAvailable,Barcode,Price,UnitOfMeasure,DateScraped
Cadbury Darkmilk Giant Buttons 105G,305977517,87897527,SAVE 1.00 Was  2.50 Now  1.50,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=305977517,True,7622201127534	,1.50,g,2022-01-27
Frys Turkish Delight 3 Pack 153G,287853222,78775904,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=287853222,True,7622210396501	,2.00,kg,2022-01-27
Ferrero Collection 30 Pieces Assorted Chocolates 324G,306808487,88234764,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306808487,True,8000500358405	,12.00,g,2022-01-27
M&M's Chocolate More To Share Pouch 250G,303670762,86664995,SAVE 55c Was  3.55 Now  3.00,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=303670762,True,5000159520195	,3.00,g,2022-01-27
Cadbury Crunchie Chocolate Multipack 9 X26.1G,292215328,80965314,SAVE 99c Was  3.99 Now  3.00,5/1/2022,31/1/2022,https://www.tesco.ie/groceries/Product/Details/?id=292215328,True,7622210989482	,3.00,g,2022-01-27
John West No Drain Tuna Steak In Brine Fridge Pot 110G,301511592,85588551,SAVE 1.20 Was  2.70 Now  1.50,20/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=301511592,True,0000050171231	,1.50,g,2022-01-27
"Tesco Mackerel In Olive, Red Pepper And Herb 125G",307354468,88496931,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=307354468,True,5057753901400	,0.90,g,2022-01-27
Forest Feast Dark Chocolate Sour Cherries 120G,309784589,89618390,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=309784589,True,5022374054255	,3.99,kg,2022-01-27
John West Tuna Infusions Jalapeno 80G,289539335,79632577,SAVE 69c Was  2.19 Now  1.50,1/1/2022,31/1/2022,https://www.tesco.ie/groceries/Product/Details/?id=289539335,True,5000171056184	,1.50,g,2022-01-27
F&I Timeless Scented Multi Wick Candle - Pomegranate,305463152,87558048,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=305463152,True,5059316412200	,13.75,EACH,2022-01-27
Tesco Super Soft Cotton Bath Sheet White,302357922,86036792,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=302357922,True,5057753958305	,12.00,EACH,2022-01-27
Fox And Ivy Nero Large Mug,303276394,86493396,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=303276394,True,5057967400157	,6.00,EACH,2022-01-27
Gorilla Wood Glue 236Ml,271128325,70574982,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=271128325,True,5704947001148	,6.00,EACH,2022-01-27
Tesco Trivet,296348850,83040062,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=296348850,True,5057373562739	,7.50,EACH,2022-01-27
Yankee Small Jar Cosy Up,302738351,86228352,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=302738351,True,5038581065885	,6.09,EACH,2022-01-27
Tesco Carved Leaf Bath Towel Green,308575395,89118512,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308575395,True,5059512945175	,7.99,EACH,2022-01-27
Keep It Handy Led Keychain Lights 2 Pack,306350975,88021745,Any 2 For 2.00,13/5/2021,28/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=306350975,True,5056175945757	,1.29,EACH,2022-01-27
Tesco Duck Bath Mat,306287877,87990468,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306287877,True,5059316836525	,9.00,EACH,2022-01-27
Slumberdown Big Hugs Pillows Pair,284864625,77312936,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=284864625,True,5012924043532	,12.00,EACH,2022-01-27
Tesco Micro Fibre Glass Cloth,293178560,81474277,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=293178560,True,5057967369751	,5.00,EACH,2022-01-27
Tesco Nova Porcelain Side Plate,270309136,70186208,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=270309136,True,5052109992200	,3.00,EACH,2022-01-27
Go Cook Ice Cream Scoop,295751150,82739545,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=295751150,True,5057373272454	,7.50,EACH,2022-01-27
Tesco Fitted Sheet Navy Single,296295681,83012954,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=296295681,True,5057373535122	,9.00,EACH,2022-01-27
Salter Mechanical Kitchen Scale 3Kg,302671244,86195294,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=302671244,True,5010777124163	,12.00,EACH,2022-01-27
Tesco Pink Reversible Duvet Set King,304858136,87264211,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304858136,True,5059316140912	,7.75,EACH,2022-01-27
Tesco Blue Floral Duvet Set King,308611756,89135762,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308611756,True,5059512966859	,15.99,EACH,2022-01-27
Sqeez Apple Juice Drink 1Ltr,285574419,77639665,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=285574419,True,5011001298155	,1.35,LITRE,2022-01-27
Coca Cola Zero 330Ml,273350743,71645344,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=273350743,True,5449000131805	,1.10,ml,2022-01-27
Vitamin Hit Apple Lean And Green 500Ml,278636219,74275615,SAVE 50c Was  2.00 Now  1.50,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=278636219,True,5034033000220	,1.50,ml,2022-01-27
Rubicon Spring Strawberry Kiwi Water 1.5L,298162864,83908943,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=298162864,True,5000382104360	,1.50,LITRE,2022-01-27
Ribena No Added Sugar Strawberry Cartons 6X250ml,305972298,87869728,SAVE 35c Was  2.85 Now  2.50,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=305972298,True,5054267006775	,2.50,ml,2022-01-27
Volvic Sports Cap Water 1Ltr,250267952,54960480,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=250267952,True,3057640136993	,1.75,ml,2022-01-27
Cadbury Crunchy Melts Oreo Creme 156G,307365115,88249171,SAVE 1.00 Was  2.50 Now  1.50,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=307365115,True,7622201148553	,1.50,g,2022-01-27
Kinder Surprise Easter Bunny 75G,265658720,64991531,SAVE 50c Was  3.50 Now  3.00,17/1/2022,17/4/2022,https://www.tesco.ie/groceries/Product/Details/?id=265658720,True,8000500157985	,3.00,g,2022-01-27
M&Ms Milk Chocolate Bar Peanuts 34G,308460438,88890049,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=308460438,True,5000159536615	,1.00,kg,2022-01-27
Cadbury Dairy Milk Orange Giant Buttons Easter Egg 410G,307339406,88627426,SAVE 4.00 Was  16.00 Now  12.00,12/1/2022,27/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=307339406,True,7622201419585	,12.00,g,2022-01-27
Gorilla Tape Handy Roll 9Mtr,297347325,83527587,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=297347325,True,5704947001704	,5.00,EACH,2022-01-27
Dolmio Bolognese Smooth Vegetable Pasta Sauce 500G,289585740,79659701,Any 2 For 3.00,20/1/2022,31/1/2022,https://www.tesco.ie/groceries/Product/Details/?id=289585740,True,4002359004711	,1.99,g,2022-01-27
Tresemme Propure Radiant Colour Shampoo 380Ml,309182466,89258930,HALF  PRICE     Was  6.99  Now  3...,1/1/2022,31/1/2022,https://www.tesco.ie/groceries/Product/Details/?id=309182466,True,8720182117243	,3.49,ml,2022-01-27
Lee Kum Kee Pure Sesame Oil 207Ml,276760627,73339214,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=276760627,True,0078895710922	,4.29,ml,2022-01-27
Garnier Olia 6.6 Intense Red Prmt Hair Dye,274843199,72389841,Any 2 For 16.00,18/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=274843199,True,3600541233928	,12.50,EACH,2022-01-27
Pantene De-Frizz And Illuminate Shampoo 250Ml,309494195,89472324,Any 2 For 10.00,18/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=309494195,True,8001841214689	,6.99,LITRE,2022-01-27
Garnier Olia 4.3 Dark Golden Brown Prmt Hair Dye,276810742,73378668,Any 2 For 16.00,18/1/2022,14/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=276810742,True,3600541292543	,12.50,EACH,2022-01-27
