ProdCode,Description,WS Size,Pack Size,Price,RRP,POR,Min Shelf Life (days),Marked as Promo,In Stock,Inner Barcode,Outer Barcode,Product Group,Category
909689,Mulligans Hamburger,6,140g,£7.29,£1.59,23.58,12,Y,NA,5018222001182	,05018222001199	,Chilled Foods," Chilled, Fresh & Frozen"
909684,Mm Pepper Sauce Sachet (meat Market),12,120g,£11.40,£1.20,20.83,148,Y,NA,5060393476375	,05060393477341	,Chilled Foods," Chilled, Fresh & Frozen"
909686,Mm Bushmills Sauce Sachet,12,120g,£10.50,£1.20,27.08,148,Y,NA,5060393476368	,05060393477334	,Chilled Foods," Chilled, Fresh & Frozen"
913787,Millar Family Foods Large Sausage Rolls 4 Pk,6,240g,£8.50,£2.00,29.17,5,Y,NA,5018222001465	,05018222001472	,Chilled Foods," Chilled, Fresh & Frozen"
914057,Meat Market Teriyaki Beef Stir Fry,4,450g,£13.40,£4.29,21.91,7,Y,NA,5060551219585	,05060551219592	,Chilled Foods," Chilled, Fresh & Frozen"
914051,Meat Market Salt & Chilli Sizzle Steaks,4,250g,£13.40,£4.29,21.91,6,Y,NA,5060551219486	,05060551219493	,Chilled Foods," Chilled, Fresh & Frozen"
902532,Mulligans Hot Dogs 3 Pk,6,245g,£11.50,£2.59,26.00,12,Y,NA,5018222001106	,05018222001113	,Chilled Foods," Chilled, Fresh & Frozen"
914055,Meat Market Sirloin Steak With Chimichurri Butter,4,280g,£26.00,£7.99,18.65,10,Y,NA,5060551219707	,05060551219714	,Chilled Foods," Chilled, Fresh & Frozen"
913818,Mulligans Burgers & Baps 2pk,6,180,£10.50,£2.20,20.45,12,Y,NA,5018222001892	,05018222001908	,Chilled Foods," Chilled, Fresh & Frozen"
914054,Meat Market Rump Steak With Peppercorn Butter,4,260g,£19.00,£5.49,13.48,10,Y,NA,5060551219424	,05060551219431	,Chilled Foods," Chilled, Fresh & Frozen"
914059,Meat Market Salt & Chilli Chicken With Pep&onions,4,340g,£13.40,£4.29,21.91,7,Y,NA,5060551219509	,05060551219516	,Chilled Foods," Chilled, Fresh & Frozen"
914110,Mulligan S Southern Fried Chicken Subs 2pk,6,160g,£11.70,£2.49,21.69,12,N,NA,5018222002899	,05018222002905	,Chilled Foods," Chilled, Fresh & Frozen"
909677,Meat Market Pork Sausages (8 S),4,400g,£10.00,£3.49,28.37,6,Y,NA,5060393478225	,05060393478232	,Chilled Foods," Chilled, Fresh & Frozen"
914067,Meat Market Pork Roast,4,1kg,£26.00,£7.99,18.65,7,Y,NA,5060551219097	,05060551219103	,Chilled Foods," Chilled, Fresh & Frozen"
914063,Meat Market Pesto & Parmesan Chicken Mini Fillets,4,400g,£13.40,£4.29,21.91,7,Y,NA,5060551219646	,05060551219653	,Chilled Foods," Chilled, Fresh & Frozen"
913107,Meat Market Battered Chicken Mini Fillets,4,300g,£9.40,£3.49,32.66,7,Y,NA,5060551216935	,05060551216942	,Chilled Foods," Chilled, Fresh & Frozen"
914058,Meat Market 6 Steak Kebabs,4,360g,£13.40,£4.29,21.91,7,Y,NA,5060551219608	,05060551219615	,Chilled Foods," Chilled, Fresh & Frozen"
914049,Meat Market Louisiana Bbq Pork Ribs,4,500g,£10.00,£3.49,28.37,7,Y,NA,5060551219769	,05060551219776	,Chilled Foods," Chilled, Fresh & Frozen"
914066,Meat Market Beef Roasting Joint,4,900g,£32.00,£9.99,19.92,7,Y,NA,5060551219066	,05060551219073	,Chilled Foods," Chilled, Fresh & Frozen"
914053,Meat Market Single Sirloin Steak Peppercorn Butter,4,170g,£13.40,£4.29,21.91,10,Y,NA,5060551219448	,05060551219455	,Chilled Foods," Chilled, Fresh & Frozen"
910414,Meat Market 2 Salt & Chilli Pork Chops,4,300g,£10.00,£3.49,28.37,8,Y,NA,5060393476238	,05060393477204	,Chilled Foods," Chilled, Fresh & Frozen"
914064,Meat Market 4 Sweet Chilli Chicken Kebabs,4,300g,£13.40,£4.29,21.91,7,Y,NA,5060551219684	,05060551219691	,Chilled Foods," Chilled, Fresh & Frozen"
910407,Meat Market 2 Flat Iron Steaks Peppercorn Butter,4,300g,£13.40,£4.29,21.91,6,Y,NA,5060393476030	,05060393477006	,Chilled Foods," Chilled, Fresh & Frozen"
910413,Meat Market 2 Pork Chops,4,300g,£10.00,£3.49,28.37,8,Y,NA,5060393476221	,05060393477198	,Chilled Foods," Chilled, Fresh & Frozen"
909678,Meat Market 4 Quarterpound Beef Burgers,4,454g,£13.00,£4.29,24.24,6,Y,NA,5060393478287	,5060393478294	,Chilled Foods," Chilled, Fresh & Frozen"
913111,Meat Market 2 Southern Fried Chicken Breast Fillet,4,300g,£9.40,£3.49,32.66,7,Y,NA,5060551216836	,05060551216843	,Chilled Foods," Chilled, Fresh & Frozen"
104697,Mccolgans Steak & Gravy Pie,6,190g,£7.20,£1.50,20.00,8,Y,NA,5014234085516	,5014234086513	,Chilled Foods," Chilled, Fresh & Frozen"
913110,Meat Market 2 Breaded Chicken Breast Fillets,4,300g,£9.40,£3.49,32.66,7,Y,NA,5060551216850	,05060551216867	,Chilled Foods," Chilled, Fresh & Frozen"
104699,Mccolgan S Mince & Onion Pie,6,190g,£7.20,£1.50,20.00,8,Y,NA,5014234085530	,5014234086537	,Chilled Foods," Chilled, Fresh & Frozen"
