Station,Postcode,Latitude,Longitude,Owner
Gordon Hill,EN2 0QU,51.66333361,-0.094610512,Govia Thameslink Railway (Great Northern)
Gorebridge,EH23 4JX,55.84027678,-3.046515878,ScotRail
Goring and Streatley,RG8 0EP,51.5214929,-1.133049456,Great Western Railway
Goring-By-Sea,BN12 6NT,50.81772021,-0.433083116,Govia Thameslink Railway (Southern)
Gorton,M18 8QU,53.46907568,-2.166209667,Northern Trains
Gospel Oak,NW5 1LT,51.55533398,-0.150770187,London Overground
Gourock,PA19 1QR,55.96232496,-4.816658939,ScotRail
Gowerton,SA4 3AJ,51.64873035,-4.035935436,TfW Rail
Goxhill,DN19 7HS,53.67670164,-0.337120493,Northern Trains
Grange Park,N21 1RE,51.64260581,-0.097358506,Govia Thameslink Railway (Great Northern)
Grange-Over-Sands,LA11 6EH,54.1957251,-2.902747771,Northern Trains
Grangetown (Cardiff),CF11 8UY,51.46761505,-3.189724429,TfW Rail
Grantham,NG31 6BT,52.90647177,-0.642450315,London North Eastern Railway
Grateley,SP11 7EB,51.17006008,-1.620773828,South Western Railway
Gravelly Hill,B23 7NH,52.51499745,-1.852598619,West Midlands Trains (West Midlands Railway)
Gravesend,DA11 0HP,51.44134601,0.366642983,Southeastern
Grays,RM17 6NQ,51.47624563,0.32183215,c2c
Great Ayton,TS9 6HR,54.48957113,-1.115345299,Northern Trains
Great Bentley,CO7 8LH,51.85175641,1.065153373,Greater Anglia
Great Chesterford,CB10 1NY,52.05980885,0.193521007,Greater Anglia
Great Coates,DN37 9NH,53.57575258,-0.130230465,Northern Trains
Great Malvern,WR14 3AL,52.10920075,-2.318271126,West Midlands Trains (West Midlands Railway)
Great Missenden,HP16 9AZ,51.703518,-0.709141096,Chiltern Railways
Great Yarmouth,NR30 1SD,52.61215532,1.720885994,Greater Anglia
Green Lane,CH41 9AN,53.38325747,-3.016415262,Merseyrail
Green Road,LA18 5HR,54.24452874,-3.245571411,Northern Trains
Greenbank,CW9 7NJ,53.25146721,-2.534271004,Northern Trains
Greenfaulds,G67 2XJ,55.93523733,-3.99310088,ScotRail
Greenfield,OL3 7JZ,53.53885963,-2.013843699,Northern Trains
Greenford,UB6 8PX,51.54233018,-0.345837204,London Underground
Greenhithe for Bluewater,DA9 9NQ,51.45036958,0.280290119,Southeastern
Greenock Central,PA15 1DH,55.9453458,-4.752635197,ScotRail
Greenock West,PA15 1TE,55.94734215,-4.767834418,ScotRail
Greenwich,SE10 8JQ,51.47813337,-0.013339927,Southeastern
Gretna Green,DG16 5HF,55.00104999,-3.06519853,ScotRail
Grimsby Docks,DN31 3PB,53.57431997,-0.075617288,Northern Trains
Grimsby Town,DN31 1LY,53.56342692,-0.086983952,TransPennine Express
Grindleford,S32 2HY,53.30556249,-1.626296843,Northern Trains
Grosmont,YO22 5QE,54.43611274,-0.724965652,Northern Trains
Grove Park,SE12 0DZ,51.43086138,0.021725482,Southeastern
Guide Bridge,M34 5HF,53.47462914,-2.113710834,Northern Trains
Guildford,GU1 4UT,51.23696943,-0.580425041,Network Rail
Guiseley,LS20 8BX,53.87593542,-1.715080093,Northern Trains
Gunnersbury,W4 4AN,51.49167637,-0.275286435,London Underground
Gunnislake,PL18 9DZ,50.51608738,-4.219406517,Great Western Railway
Gunton,NR11 8UD,52.86634274,1.34911623,Greater Anglia
Gwersyllt,LL11 4LD,53.07257752,-3.017888574,TfW Rail
Gypsy Lane,TS7 0DY,54.53289165,-1.179392156,Northern Trains
Habrough,DN40 3AB,53.60607503,-0.269461323,Northern Trains
Hackbridge,SM6 7BJ,51.37787034,-0.153907557,Govia Thameslink Railway (Southern)
Hackney Central,E8 1LL,51.54710334,-0.056057615,London Overground
Hackney Downs,E8 1LA,51.54875584,-0.060819019,London Overground
Hackney Wick,E9 5TS,51.54340881,-0.024919857,London Overground
Haddenham and Thame Parkway,HP17 8EP,51.77085508,-0.942137164,Chiltern Railways
Haddiscoe,NR31 9JA,52.52878292,1.623006951,Greater Anglia
Hadfield,SK14 7AA,53.46074619,-1.965320691,Northern Trains
Hadley Wood,EN4 0EL,51.66849544,-0.176172558,Govia Thameslink Railway (Great Northern)
Hag Fold,M46 9WX,53.53385457,-2.494821908,Northern Trains
Haggerston,E8 4DY,51.53870388,-0.075666551,London Overground
Hagley,DY9 0NX,52.42249157,-2.146417359,West Midlands Trains (West Midlands Railway)
Hairmyres,G75 8SW,55.76197063,-4.22001179,ScotRail
Hale (Manchester),WA14 2UZ,53.37871974,-2.347357079,Northern Trains
Halesworth,IP19 8BZ,52.34681234,1.505667244,Greater Anglia
Halewood,L26 0TH,53.36448225,-2.830134371,Northern Trains
