Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit,Home Bargains,Promotion
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Synthetic Chamois,£3.00,£3.00,£3.00/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Microfiber Wash Mitt,£3.00,£3.00,£3.00/each,Each,NO,
9.10003E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Wonder Wheels Colour Active,£7.00,£7.00,£11.67/lt,Each,NO,
9.1E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Wonder Wheels Wet Look Tyres,£3.50,£3.50,70.0p/100ml,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Squeegee,£3.00,£3.00,£3.00/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Chamois,£3.00,£3.00,£3.00/each,Each,NO,
1.00008E+12,50995691,Home & Entertainment,DIY & Car Care,Demon Shine On Spray,£7.50,£7.50,£3.75/lt,Each,NO,
9.1E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,T-Cut Color Fast Scratch Remover,£7.00,£7.00,£4.67/100g,Each,NO,
9.10002E+11,79118001155,Home & Entertainment,DIY & Car Care,Rain-X Headlight Restoration Kit,£10.00,£10.00,£10.00/each,Each,NO,
9.10001E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,T-Cut Scratch Magic Pen,£8.50,£8.50,£85.00/100ml,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Wheel Brush,£3.00,£3.00,£3.00/each,Each,NO,
9.10001E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Machine Rapid Dirt Shifter,£4.00,£4.00,£4.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,ASDA Dip and Wash Brush,£8.00,£8.00,£8.00/each,Each,NO,
9.10001E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Wheels Universal Wheel Cleaner,£4.00,£4.00,£4.00/lt,Each,NO,
