GTIN,Category,Sub Category,Product,Brand,Price,Unit Price,Unit,Offer
5012583210047,Toiletries & Beauty,Hair Care,Schwarzkopf Oleo Intense 5-10 Light Brown,Schwarzkopf,4.0,,,"Offer price £4, was £5"
8717163667132,Toiletries & Beauty,Skin Care,Simple Charcoal Purifying Sheet Mask ,Simple,1.75,0.8342,per 10ml,"Offer price £1.75, was £3"
8720181101236,Toiletries & Beauty,Skin Care,Vaseline Instant Dry Skin Rescue Body Lotion,Vaseline,5.27,1.3175,per 100ml,"Offer price £5.27, was £8"
5060432710996,"Beer, Wines & Spirits",Cigarettes & Tobacco,Ok Premium E-Liquid Nicotine 6Mg/Ml Sweet Anise & Menthol 10Ml,Ok Vape,4.0,0.0,each,
5060432710514,"Beer, Wines & Spirits",Cigarettes & Tobacco,Ok Premium E-Liquid Pear Punch 6Mg,Ok Vape,4.0,0.0,each,
5038635076850,"Beer, Wines & Spirits",Gifts,Only Fools And Horses Beer And Glass Gift Set,Only Fools,7.0,0.0,each,
5000143956719,"Beer, Wines & Spirits",Cigarettes & Tobacco,Ploom EVO Tobacco Sticks Emerald,Ploom,4.5,0.0,each,
3700426235556,Toiletries & Beauty,Hair Care,Keia Softening Shampoo Bar Coconut Oil,Keia,5.0,7.69,per 100g,
4005900907141,Step Into Summer,Summer Essentials,Nivea Sun Luminous 630 Uv Face Spf 50,Nivea,16.0,40.0,per 100ml,
3700426235198,Toiletries & Beauty,Skin Care,Keia Nourishing Body & Hand Cream Macadamia,Keia,5.0,6.67,per 100ml,
3700426235563,Toiletries & Beauty,Hair Care,Keia Softening Conditioner Bar Coconut Oil ,Keia,5.0,7.69,per 100g,
5010525176123,Toiletries & Beauty,Skin Care,Morrisons Antibacterial Hand Cream,Morrisons,1.5,1.5,per 100ml,
5000386008466,Toiletries & Beauty,Gifting & Fragrances,Charlie Red EDT Natural Spray,Charlie,4.95,4.95,per 100ml,
5051389044890,Toiletries & Beauty,Deodorants & Body Sprays,Mitchum Shower Fresh Antiperspirant Deodorant ,Mitchum,3.0,1.5,per 100ml,
