Product Code,Desc,Wholesale Size,Order Size,Pack Size,Retail EAN,Vat Rate,Brand,Price Promo,Image URL,Subcat,Category,RSP,POR,Calculated Wholesale Price,Calculated Wholesale Price (Corrected VAT),Multi Buy,Multi Buy Mechanic,Date Scraped
256740,Walkers Cheese & Onion Crisps 32.5g,32.5g × 32 × 1,32,32.5g,5000328212593	,Standard,Walkers,YES,https://www.bestwaywholesale.co.uk/img/products/full/upl/256740.jpg,Crisps & Snacks,Grocery,£0.75,35.06%,15.59,19.74,NO,NA,05-10-2022
798666,McVitie's Hobnobs The Oaty One Milk Chocolate 262g,262g × 15 × 1,15,262g,5000168033907	,Standard,McVitie's,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/5000168033914.jpg,Biscuits,Grocery,£1.75,36.05%,16.79,18.71,NO,NA,05-10-2022
786934,Best-One Sensitive Skin 64 Baby Wipes,64s × 12 × 1,12,64s,5054073085513	,Standard,Best-One,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/5054073085520.jpg,Baby Products,Grocery,£1.00,30.10%,8.39,10.07,NO,NA,05-10-2022
726791,Whiskas Adult Complete Dry Cat Food Biscuits Chicken 340g PMP £1.25,340g × 6 × 1,6,340g,5900951287329	,Standard,Whiskas,YES,https://www.bestwaywholesale.co.uk/img/products/1000/9/5900951287329.jpg,Petfoods,Grocery,£1.25,32.0%,5.1,5.92,NO,NA,05-10-2022
648081,Robinsons Orange No Added Sugar Squash PMP 6 x 2L,2Ltr × 6 × 1,6,2Ltr,5010102118973	,Standard,Robinsons,YES,https://www.bestwaywholesale.co.uk/img/products/1000/5/5010102231405.jpg,Soft Drinks,Grocery,£2.49,43.86%,8.39,9.06,NO,NA,05-10-2022
760307,Lindt LINDOR Double Chocolate Truffles 200g,200g × 1,1,200g,8003340092256	,Standard,Lindt,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/8003340092256.jpg,Chocolate Confectionery,Confectionery,£5.50,21.67%,4.31,4.46,NO,NA,05-10-2022
745933,Yorkie Orange Milk Chocolate Bar 46g,46g × 24 × 1,24,46g,7613287383945	,Standard,Yorkie,YES,https://www.bestwaywholesale.co.uk/img/products/1000/5/7613287383945.jpg,Nestle,Confectionery,£0.75,66.74%,5.99,7.58,NO,NA,05-10-2022
179083,Smint 50 Peppermint XXL 35g,35g × 12 × 1,12,35g,8410031945683	,Standard,Smint,YES,https://www.bestwaywholesale.co.uk/img/products/1000/7/8410031945737.jpg,Sugar,Confectionery,£1.50,41.40%,10.55,11.95,NO,NA,05-10-2022
811021,Munchies Caramel and Biscuit Chocolate Sharing Bar 87g PMP £1,87g × 16 × 1,16,87g,8593893782037	,Standard,Munchies,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/8593893782037.jpg,Nestle,Confectionery,£1.00,16.08%,13.43,16.11,NO,NA,05-10-2022
739442,Smarties Orange Milk Chocolate Sharing Bar 90g PMP £1,90g × 14 × 1,14,90g,7613287112989	,Standard,Smarties,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/7613287112989.jpg,Nestle,Confectionery,£1.00,18.66%,11.39,13.67,NO,NA,05-10-2022
800654,Swizzels Minions Tropical Fizz Chew Bar,18g × 60 × 1,60,18g,5010478900455	,Standard,Swizzels,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/5010478900455.jpg,Kiddies Sweets,Confectionery,£0.15,25.52%,6.7,15.64,NO,NA,05-10-2022
583442,Koka The Original Spicy Stir-Fried Oriental Instant Noodles 85g,85g × 30 × 1,30,85g,18888056603852	,Exempt,Koka,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/8888056708109.jpg,Dried Pasta & Noodles,Grocery,£0.60,38.95%,10.99,10.99,NO,NA,05-10-2022
404195,Pringles Salt & Vinegar 70g PMP,70g × 12 × 1,12,70g,5053990146512	,Standard,Pringles,NO,https://www.bestwaywholesale.co.uk/img/products/1000/2/5053990146512.jpg,Crisps & Snacks,Grocery,£1.00,22.11%,9.35,11.22,NO,NA,05-10-2022
677350,Smiths Snaps Spicy Tomato Snacks 39p RRP PMP 21g,Std × 30 × 1,30,Std,5000328286273	,Standard,Smiths,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/5000328286273.jpg,Crisps & Snacks,Grocery,£0.39,28.31%,8.39,12.69,NO,NA,05-10-2022
963143,Green Giant Original 340g,340g × 12 × 1,12,340g,3254474009411	,Exempt,Green Giant,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/3254474011216.jpg,Canned Vegetables,Grocery,£0.99,25.17%,8.89,8.89,NO,NA,05-10-2022
770091,Pringles Cheese & Onion Crisps PMP 165g,165g × 6 × 1,6,165g,5053990168392	,Standard,Pringles,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/770091.jpg,Crisps & Snacks,Grocery,£2.49,20.56%,11.87,12.82,NO,NA,05-10-2022
782811,Weetabix 10x24 Biscuits case PMP £3.29,12Bisc × 10 × 1,10,12Bisc,5010029228502	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/782811.jpg,Cereals,Grocery,£1.79,19.61%,14.39,14.39,NO,NA,05-10-2022
788630,Batchelors Pasta 'n' Sauce Cheese & Broccoli 99g,99g × 7 × 1,7,99g,5000117929695	,Exempt,Batchelors,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5000354921476.jpg,Dried Pasta & Noodles,Grocery,£1.19,28.09%,5.99,5.99,NO,NA,05-10-2022
772541,Bestone Cat Food Chicken In Jelly PM 79p,400g × 12 × 1,12,400g,5054073085391	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/772541.jpg,Petfoods,Grocery,£0.79,29.25%,6.71,8.41,NO,NA,05-10-2022
68257,McVitie's Cookies Chocolate Chip £1 PMP 150g,150g × 12 × 1,12,150g,5000168183503	,Exempt,McVitie's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/5000168183510.jpg,Biscuits,Grocery,£1.00,25.09%,8.99,8.99,NO,NA,05-10-2022
736094,"KP Original Salted Peanuts 65g, £1 PMP",65g × 16 × 1,16,65g,5000237131213	,Standard,KP,YES,https://www.bestwaywholesale.co.uk/img/products/1000/3/5000237131213.jpg,Crisps & Snacks,Grocery,£1.00,28.08%,11.51,13.81,NO,NA,05-10-2022
254133,Barratt Refreshers 34g,34.2g × 48 × 1,48,34.2g,502327406559	,Standard,Barratt,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/5023274065600.jpg,Kiddies Sweets,Confectionery,£0.55,29.16%,18.7,25.5,NO,NA,05-10-2022
237431,HARIBO Supermix Minis Treat Size 16g,10p × 100 × 1,100,10p,5012035921989	,Standard,Haribo,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5012035921989.jpg,Kiddies Sweets,Confectionery,£0.15,36.88%,9.47,22.09,NO,NA,05-10-2022
616596,Cadbury Bournville Giant Buttons Dark Chocolate Bar £1 95g,95g × 10 × 1,10,95g,7622210617460	,Standard,Cadbury,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/7622210617460.jpg,Cadburys,Confectionery,£1.00,23.32%,7.67,9.2,NO,NA,05-10-2022
724962,Lindt EXCELLENCE 85% Cocoa Robust Dark 100g,100g × 1,1,100g,3046920028363	,Standard,Lindt,YES,https://www.bestwaywholesale.co.uk/img/products/1000/3/3046920028363.jpg,Chocolate Confectionery,Confectionery,£2.09,33.97%,1.38,1.51,NO,NA,05-10-2022
618581,Cadbury Heroes Chocolate Carton 185g,185g × 9,9,185g,7622210959911	,Standard,Cadbury,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/7622210959911.jpg,Cadburys,Confectionery,£3.50,27.66%,22.79,24.09,NO,NA,05-10-2022
681556,Golden Wonder Transform-A-Snack Saucy BBQ Flavour Snacks 80g,80g × 15 × 1,15,80g,5010052015063	,Standard,Golden Wonder,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5010052112496.jpg,Crisps & Snacks,Grocery,£1.00,29.68%,10.55,12.66,NO,NA,05-10-2022
772674,Best-One Tomato Ketchup 506g,506g × 8 × 1,8,506g,5054073085278	,Exempt,Best-One,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/5054073085285.jpg,Pickles & Sauces,Grocery,£1.29,34.21%,6.79,6.79,NO,NA,05-10-2022
786912,Del Verde Spaghetti PM £1.19,400g × 8 × 1,8,400g,8000270707502	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/786912.jpg,Dried Pasta & Noodles,Grocery,£1.19,31.83%,6.49,6.49,NO,NA,05-10-2022
739031,Jacob's Cream Crackers £1.49 PMP 300g,300g × 12 × 1,12,300g,5000168027807	,Exempt,Jacob's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/4/5000168027814.jpg,Biscuits,Grocery,£1.49,20.87%,14.15,14.15,NO,NA,05-10-2022
798677,McVitie's Ginger Nuts 250g,250g × 12 × 1,12,250g,5000168034058	,Exempt,McVitie's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/5000168034065.jpg,Biscuits,Grocery,£1.39,22.73%,12.89,12.89,NO,NA,05-10-2022
741521,Nesquik 375g,375g × 6 × 1,6,375g,7613287114341	,Exempt,Nesquik,YES,https://www.bestwaywholesale.co.uk/img/products/1000/1/7613287114341.jpg,Cereals,Grocery,£2.99,47.10%,9.49,9.49,NO,NA,05-10-2022
159131,Walkers Cheese & Onion Multipack Crisps 6x25g,6pk × 1,1,6pk,5000328118918	,Standard,Walkers,YES,https://www.bestwaywholesale.co.uk/img/products/1000/3/5000328375373.jpg,Crisps & Snacks,Grocery,£2.35,29.02%,1.67,1.81,NO,NA,05-10-2022
750150,Surf Concentrated Liquid Laundry Detergent Tropical Lily 18 Washes PMP,486ml × 4 × 1,4,486ml,8720181109577	,Standard,Surf,YES,https://www.bestwaywholesale.co.uk/img/products/1000/7/8720181109577.jpg,Laundry,Grocery,£2.99,34.88%,7.79,8.31,NO,NA,05-10-2022
807247,Kellogg's Rice Krispies Squares Marshmallow Bar Single 28g PMP,28g × 30 × 1,30,28g,5059321005183	,Standard,Squares,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/5059321005183.jpg,Cereals,Grocery,£0.69,22.61%,16.02,20.66,NO,NA,05-10-2022
