Product Code,Desc,Wholesale Size,Order Size,Pack Size,Retail EAN,Vat Rate,Brand,Price Promo,Image URL,Subcat,Category,RSP,POR,Calculated Wholesale Price,Calculated Wholesale Price (Corrected VAT),Multi Buy,Multi Buy Mechanic,Date Scraped
119062,Budějovický Budvar Original Czech Lager 500ml,500ml × 20 × 1,20,500ml,18594403110118	,Standard,Budějovický Budvar,YES,https://www.bestwaywholesale.co.uk/img/products/1000/1/8594403110111.jpg,Lager,"Beers, Wines & Spirits",£2.00,23.53%,30.59,33.65,NO,NA,16-08-2022
118902,Peroni Nastro Azzurro Lager Beer Bottle 330ml,33Cl × 24 × 1,24,33Cl,8008440101082	,Standard,Peroni,YES,https://www.bestwaywholesale.co.uk/img/products/1000/6/8008440210456.jpg,Lager,"Beers, Wines & Spirits",£1.39,24.50%,25.19,28.81,NO,NA,16-08-2022
118894,San Miguel Premium Lager Beer 24 x 330ml Bottles,330ml × 24 × 1,24,330ml,5000104132930	,Standard,San Miguel,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/5016325771667.jpg,Lager,"Beers, Wines & Spirits",£1.55,29.71%,26.15,29.52,NO,NA,16-08-2022
109930,Bell's Original Whisky 35Cl,35Cl × 6,6,35Cl,5000387006249	,Standard,Bell's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5000387905436.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£12.19,17.16%,60.59,61.58,NO,NA,16-08-2022
109907,Smirnoff No. 21 Vodka 35cl,35Cl × 6,6,35Cl,5410316471688	,Standard,Smirnoff,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5410316671286.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£10.69,17.70%,52.79,53.77,NO,NA,16-08-2022
107799,Metaxa The Original Greek Spirit 5 Stars 70cl,70Cl × 6,6,70Cl,25202795120058	,Standard,Metaxa,NO,https://www.bestwaywholesale.co.uk/img/products/1000/4/5202795120054.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£24.99,16.78%,124.78,125.78,NO,NA,16-08-2022
109899,Bell's Blended Scotch Whisky 10cl,10Cl × 6,6,10Cl,5000387007796	,Standard,Bell's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5000387905399.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£4.69,25.42%,20.99,21.88,NO,NA,16-08-2022
107799,Metaxa The Original Greek Spirit 5 Stars 70cl,70Cl × 1,1,70Cl,25202795120058	,Standard,Metaxa,NO,https://www.bestwaywholesale.co.uk/img/products/1000/4/5202795120054.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£24.99,14.57%,21.35,21.52,NO,NA,16-08-2022
950293,Plymouth Gin Original Strength 70cl,70Cl × 6,6,70Cl,5000299608005	,Standard,Plymouth,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/5000299608005.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£27.99,19.98%,134.39,135.35,NO,NA,16-08-2022
752500,Badger The Hopping Hare Pale Ale 500ml,500ml × 8 × 1,8,500ml,5010548002911	,Standard,Badger,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/5010548002911.jpg,Lager,"Beers, Wines & Spirits",£2.19,24.73%,13.19,14.39,NO,NA,16-08-2022
105024,WHITE STAR Refreshing Cider 500ml,500ml × 24 × 1,24,500ml,15060328920192	,Standard,White Star,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/5060328920157.jpg,Cider,"Beers, Wines & Spirits",£1.15,24.40%,20.87,24.49,NO,NA,16-08-2022
727465,Cactus Jack's Schnapps Dark Fruits 70cl,70Cl × 6,6,70Cl,5021932022293	,Standard,Cactus Jack's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5021932022309.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£7.89,23.98%,35.99,36.9,NO,NA,16-08-2022
727454,Cactus Jack's Schnapps Passion Fruit 70cl,70Cl × 6,6,70Cl,5021932022330	,Standard,Cactus Jack's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/5021932022347.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£7.89,23.98%,35.99,36.9,NO,NA,16-08-2022
718458,KWV Classic Collection Pinotage 750ml,75Cl × 6,6,75Cl,6002323400233	,Standard,KWV,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/6002323400530.jpg,White Wine,"Beers, Wines & Spirits",£7.49,23.93%,34.19,35.1,NO,NA,16-08-2022
689693,The Magic Box Wondrous Chardonnay 750ml,75Cl × 6,6,75Cl,9322214014767	,Standard,The Magic Box,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/9322214014767.jpg,White Wine,"Beers, Wines & Spirits",£9.00,37.80%,33.59,34.33,NO,NA,16-08-2022
671431,Peroni Libera 0.0% Alcohol Free 12 x 330ml,330ml × 12 × 1,12,330ml,8008440112507	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/671431.jpg,Beer/Lager/Ale Low/No Alcohol,"Beers, Wines & Spirits",£1.29,38.07%,9.59,11.07,NO,NA,16-08-2022
666747,I Heart Gin 70cl,70Cl × 6,6,70Cl,15060215334231	,Standard,I Heart,NO,https://www.bestwaywholesale.co.uk/img/products/1000/4/5060215334234.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£17.99,17.63%,88.91,89.9,NO,NA,16-08-2022
664953,Xf20/15 Orange PM £2.85,20Cl × 12,12,20Cl,3263280121026	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/664953.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£2.85,28.46%,24.47,26.18,NO,NA,16-08-2022
662670,Glen's Vodka 1 Litre,1Ltr × 6,6,1Ltr,5016840102656	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/662670.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£17.99,13.41%,93.47,94.5,NO,NA,16-08-2022
615810,Blossom Hill Gin Fizz Sicilian Lemon and Rosemary 750ml,75Cl × 6,6,75Cl,5060078185226	,Standard,Blossom Hill,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5060078185226.jpg,White Wine,"Beers, Wines & Spirits",£7.49,19.92%,35.99,36.95,NO,NA,16-08-2022
897150,Rossini Vermouth Rosso 70cl,70Cl × 6,6,70Cl,5027876013373	,Standard,Rossini,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/5027876013380.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£5.99,21.24%,28.31,29.25,NO,NA,16-08-2022
