Region,Fascia,Source,Postcode,First Postcode,2 Digit Postcode,Talysis Id,Latitude,Longitude,Station,Owner,Rural/urban,London zone
Northern Ireland,COSTCUTTER,TCC,BT4 1HD,BT4,BT,TCC-Z00404,54.59902,-5.898202,,,,
West Midlands,COSTCUTTER,TCC,CV22 5NU,CV22,CV,TCC-Z00390,52.362,-1.266722,,,,
East Midlands,COSTCUTTER,TCC,LE19 3EQ,LE19,LE,TCC-Z00362,52.57849,-1.211199,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,S9 1NJ,S9,S,TCC-Z00394,53.42331,-1.418354,,,,
East Midlands,SIMPLYFRESH,TCC,LE5 4DG,LE5,LE,TCC-Z00509,52.64188,-1.089154,,,,
Northern Ireland,COSTCUTTER,TCC,BT63 5QR,BT63,BT,TCC-Z00523,54.43723,-6.411353,,,,
East of England,COSTCUTTER,TCC,PE14 8RH,PE14,PE,TCC-Z00388,52.60778,0.2358437,,,,
Scotland,COSTCUTTER,TCC,ML3 9TQ,ML3,ML,TCC-Z00409,55.77333,-4.080283,,,,
South East England,Costcutter,TCC,TN4 0PN,TN4,TN,TCC-Z00550,51.15545,0.2596964,,,,
West Midlands,Costcutter,TCC,B26 2JH,B26,B,TCC-Z00551,52.4681,-1.790636,,,,
West Midlands,Costcutter,TCC,DY11 5HA,DY11,DY,TCC-Z00552,52.40123,-2.258462,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,DN31 2HG,DN31,DN,TCC-Z00062,53.56681,-0.09465362,,,,
East Midlands,COSTCUTTER,TCC,PE20 1DT,PE20,PE,TCC-Z00063,52.92979,-0.05762694,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO25 8RH,YO25,YO,TCC-Z00064,53.9124,-0.3006848,,,,
Wales,COSTCUTTER,TCC,SA67 7AR,SA67,SA,TCC-Z00386,51.79893,-4.743641,,,,
North East England,COSTCUTTER,TCC,TS6 9RX,TS6,TS,TCC-Z00067,54.56582,-1.146917,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,DL8 5BP,DL8,DL,TCC-Z00068,54.31025,-1.830822,,,,
Wales,COSTCUTTER,TCC,SA46 0AS,SA46,SA,TCC-Z00395,52.24241,-4.259774,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,LS24 9HJ,LS24,LS,TCC-Z00069,53.87583,-1.271948,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,LS23 6BT,LS23,LS,TCC-Z00070,53.9041,-1.345414,,,,
Wales,COSTCUTTER,TCC,SA45 9QH,SA45,SA,TCC-Z00533,52.21176,-4.359866,,,,
Northern Ireland,COSTCUTTER,TCC,BT44 9LF,BT44,BT,TCC-Z00072,54.99715,-6.330963,,,,
Scotland,COSTCUTTER,TCC,AB54 8AN,AB54,AB,TCC-Z00073,57.44658,-2.786731,,,,
Northern Ireland,COSTCUTTER,TCC,BT53 6BE,BT53,BT,TCC-Z00074,55.072,-6.519288,,,,
West Midlands,COSTCUTTER,TCC,WS8 6AP,WS8,WS,TCC-Z00075,52.64728,-1.924223,,,,
Northern Ireland,COSTCUTTER,TCC,BT92 2BA,BT92,BT,TCC-Z00450,54.29747,-7.640524,,,,
Northern Ireland,COSTCUTTER,TCC,BT49 9DB,BT49,BT,TCC-Z00502,55.04977,-6.951955,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO19 5QT,YO19,YO,TCC-Z00408,53.96408,-0.9822501,,,,
Scotland,COSTCUTTER,TCC,EH22 3EU,EH22,EH,TCC-Z00077,55.88837,-3.082488,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,HU11 5EU,HU11,HU,TCC-Z00078,53.84022,-0.2651703,,,,
East of England,COSTCUTTER,TCC,EN10 6DX,EN10,EN,TCC-Z00080,51.73033,-0.0236602,,,,
Scotland,COSTCUTTER,TCC,AB21 7BJ,AB21,AB,TCC-Z00364,57.20678,-2.189779,,,,
South West England,COSTCUTTER,TCC,BS5 6QG,BS5,BS,TCC-Z00081,51.47364,-2.549217,,,,
Wales,COSTCUTTER,TCC,CF41 7NA,CF41,CF,TCC-Z00083,51.64403,-3.484257,,,,
Scotland,COSTCUTTER,TCC,DG16 5AQ,DG16,DG,TCC-Z00084,54.99443,-3.06732,,,,
Scotland,COSTCUTTER,TCC,AB53 4EJ,AB53,AB,TCC-Z00412,57.53767,-2.462867,,,,
Wales,COSTCUTTER,TCC,SY23 5BT,SY23,SY,TCC-Z00487,52.30355,-4.147654,,,,
Northern Ireland,COSTCUTTER,TCC,BT61 9SA,BT61,BT,TCC-Z00085,54.34399,-6.543895,,,,
Northern Ireland,COSTCUTTER,TCC,BT70 1RY,BT70,BT,TCC-Z00384,54.48712,-6.876549,,,,
East of England,COSTCUTTER,TCC,MK40 2QH,MK40,MK,TCC-Z00360,52.13926,-0.4756992,,,,
Wales,COSTCUTTER,TCC,SY22 6AR,SY22,SY,TCC-Z00534,52.77574,-3.149986,,,,
Scotland,COSTCUTTER,TCC,DG8 8PD,DG8,DG,TCC-Z00347,54.7358,-4.41491,,,,
Northern Ireland,COSTCUTTER,TCC,BT93 6HW,BT93,BT,TCC-Z00086,54.41801,-7.817537,,,,
West Midlands,COSTCUTTER,TCC,CV4 7AL,CV4,CV,TCC-Z00518,52.38006,-1.561698,,,,
East Midlands,COSTCUTTER,TCC,NN3 8NQ,NN3,NN,TCC-Z00089,52.26403,-0.8350208,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO19 6AB,YO19,YO,TCC-Z00090,53.89612,-0.9659141,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO25 6TN,YO25,YO,TCC-Z00091,54.00553,-0.4408775,,,,
London,COSTCUTTER,TCC,NW3 6DT,NW3,NW,TCC-Z00092,51.54963,-0.1822572,,,,
Scotland,COSTCUTTER,TCC,TD9 0QU,TD9,TD,TCC-Z00467,55.17961,-2.812111,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO41 5NN,YO41,YO,TCC-Z00093,53.94874,-0.8898284,,,,
Northern Ireland,COSTCUTTER,TCC,BT32 3NH,BT32,BT,TCC-Z00407,54.31681,-6.305087,,,,
Northern Ireland,COSTCUTTER,TCC,BT80 0HS,BT80,BT,TCC-Z00094,54.63436,-6.522245,,,,
Scotland,COSTCUTTER,TCC,KY5 8AT,KY5,KY,TCC-Z00435,56.15074,-3.323526,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,LS7 3DX,LS7,LS,TCC-Z00095,53.81615,-1.532039,,,,
Wales,COSTCUTTER,TCC,SY23 1HZ,SY23,SY,TCC-Z00504,52.41315,-4.08344,,,,
West Midlands,COSTCUTTER,TCC,WR10 1NX,WR10,WR,TCC-Z00096,52.11971,-2.075317,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,HX2 9QW,HX2,HX,TCC-Z00097,53.75857,-1.883309,,,,
Scotland,COSTCUTTER,TCC,AB43 8RE,AB43,AB,TCC-Z00463,57.60036,-1.918705,,,,
